38.373502	41.993346	1 0
57.588108	59.934077	0.7 0
63.875389	64.655887	0 0.5
64.655887	66.415714	0.5 0
71.920149	76.760146	0 0.4
76.760146	77.942243	1 0.5
77.942243	95.928230	0.5 0.5
95.928230	98.341657	0.55 0.5
98.341657	100.771175	0.55 0.5
100.771175	103.152423	0.6 0.5
103.152423	105.572996	0.65 0.5
105.572996	107.895200	0.8 0.6
107.895200	112.768618	0.6 0.5
112.768618	115.267981	0.5 0
134.386935	139.288633	0.7 0
191.978916	195.598760	1 0
211.193522	213.539491	0.7 0
217.480803	218.261301	0 0.5
218.261301	220.021128	0.5 0
225.525563	230.365560	0 0.4
230.365560	231.547658	1 0.5
231.547658	249.533644	0.5 0.5
249.533644	251.947072	0.55 0.5
251.947072	254.376589	0.55 0.5
254.376589	256.757838	0.6 0.5
256.757838	259.178410	0.65 0.5
259.178410	261.500615	0.8 0.6
261.500615	266.374032	0.6 0.5
266.374032	268.873395	0.5 0
287.992349	292.894047	0.7 0
